Comunidades y Ciudades Autónomas;Edad;Motivo;Total
04 Balears, Illes;40 y más años;Por no utilizar métodos anticonceptivos;25,45
04 Balears, Illes;40 y más años;Mi pareja quería;1,8
04 Balears, Illes;40 y más años;Otros;56,42
05 Canarias;NA;Total;100
05 Canarias;NA;Fallo del método anticonceptivo utilizado;23,07
05 Canarias;NA;Por no utilizar métodos anticonceptivos;30,29
05 Canarias;NA;Mi pareja quería;7,12
05 Canarias;NA;Otros;39,51
05 Canarias;Menos de 40 años;Total;100
05 Canarias;Menos de 40 años;Fallo del método anticonceptivo utilizado;28,32
05 Canarias;Menos de 40 años;Por no utilizar métodos anticonceptivos;30,03
05 Canarias;Menos de 40 años;Mi pareja quería;14,33
05 Canarias;Menos de 40 años;Otros;27,32
05 Canarias;40 y más años;Total;100
05 Canarias;40 y más años;Fallo del método anticonceptivo utilizado;19,59
05 Canarias;40 y más años;Por no utilizar métodos anticonceptivos;30,47
05 Canarias;40 y más años;Mi pareja quería;2,34
05 Canarias;40 y más años;Otros;47,61
06 Cantabria;NA;Total;100
06 Cantabria;NA;Fallo del método anticonceptivo utilizado;33,1
06 Cantabria;NA;Por no utilizar métodos anticonceptivos;20,25
06 Cantabria;NA;Mi pareja quería;10,74
06 Cantabria;NA;Otros;35,91
06 Cantabria;Menos de 40 años;Total;100
06 Cantabria;Menos de 40 años;Fallo del método anticonceptivo utilizado;38,06
06 Cantabria;Menos de 40 años;Por no utilizar métodos anticonceptivos;22,32
06 Cantabria;Menos de 40 años;Mi pareja quería;15,42
06 Cantabria;Menos de 40 años;Otros;24,2
06 Cantabria;40 y más años;Total;100
06 Cantabria;40 y más años;Fallo del método anticonceptivo utilizado;30,18
06 Cantabria;40 y más años;Por no utilizar métodos anticonceptivos;19,03
06 Cantabria;40 y más años;Mi pareja quería;7,98
06 Cantabria;40 y más años;Otros;42,81
07 Castilla y León;NA;Total;100
07 Castilla y León;NA;Fallo del método anticonceptivo utilizado;23,33
07 Castilla y León;NA;Por no utilizar métodos anticonceptivos;13,41
07 Castilla y León;NA;Mi pareja quería;23,48
07 Castilla y León;NA;Otros;39,78
07 Castilla y León;Menos de 40 años;Total;100
07 Castilla y León;Menos de 40 años;Fallo del método anticonceptivo utilizado;30,73
07 Castilla y León;Menos de 40 años;Por no utilizar métodos anticonceptivos;13,65
07 Castilla y León;Menos de 40 años;Mi pareja quería;33,01
07 Castilla y León;Menos de 40 años;Otros;22,61
07 Castilla y León;40 y más años;Total;100
07 Castilla y León;40 y más años;Fallo del método anticonceptivo utilizado;20,53
07 Castilla y León;40 y más años;Por no utilizar métodos anticonceptivos;13,32
07 Castilla y León;40 y más años;Mi pareja quería;19,87
07 Castilla y León;40 y más años;Otros;46,28
08 Castilla - La Mancha;Total;Total;100
08 Castilla - La Mancha;Total;Fallo del método anticonceptivo utilizado;14,12
08 Castilla - La Mancha;Total;Por no utilizar métodos anticonceptivos;34,35
08 Castilla - La Mancha;Total;Mi pareja quería;9,93
08 Castilla - La Mancha;Total;Otros;41,6
08 Castilla - La Mancha;Menos de 40 años;Total;100
08 Castilla - La Mancha;Menos de 40 años;Fallo del método anticonceptivo utilizado;17,54
08 Castilla - La Mancha;Menos de 40 años;Por no utilizar métodos anticonceptivos;39,49
08 Castilla - La Mancha;Menos de 40 años;Mi pareja quería;5,57
08 Castilla - La Mancha;Menos de 40 años;Otros;37,4
08 Castilla - La Mancha;40 y más años;Total;100
08 Castilla - La Mancha;40 y más años;Fallo del método anticonceptivo utilizado;12,4
08 Castilla - La Mancha;40 y más años;Por no utilizar métodos anticonceptivos;31,76
08 Castilla - La Mancha;40 y más años;Mi pareja quería;12,12
08 Castilla - La Mancha;40 y más años;Otros;43,72
09 Cataluña;NA;Total;100
09 Cataluña;NA;Fallo del método anticonceptivo utilizado;18,4
09 Cataluña;NA;Por no utilizar métodos anticonceptivos;16,96
09 Cataluña;NA;Mi pareja quería;17,81
09 Cataluña;NA;Otros;46,82
09 Cataluña;Menos de 40 años;Total;100
09 Cataluña;Menos de 40 años;Fallo del método anticonceptivo utilizado;17,84
09 Cataluña;Menos de 40 años;Por no utilizar métodos anticonceptivos;27,87
09 Cataluña;Menos de 40 años;Mi pareja quería;18,9
09 Cataluña;Menos de 40 años;Otros;35,38
09 Cataluña;40 y más años;Total;100
09 Cataluña;40 y más años;Fallo del método anticonceptivo utilizado;18,7
09 Cataluña;40 y más años;Por no utilizar métodos anticonceptivos;11,02
09 Cataluña;40 y más años;Mi pareja quería;17,22
09 Cataluña;40 y más años;Otros;53,05
10 Comunitat Valenciana;NA;Total;100
10 Comunitat Valenciana;NA;Fallo del método anticonceptivo utilizado;22,4
10 Comunitat Valenciana;NA;Por no utilizar métodos anticonceptivos;24,43
10 Comunitat Valenciana;NA;Mi pareja quería;10,78
10 Comunitat Valenciana;NA;Otros;42,39
10 Comunitat Valenciana;Menos de 40 años;Total;100
10 Comunitat Valenciana;Menos de 40 años;Fallo del método anticonceptivo utilizado;10,44
10 Comunitat Valenciana;Menos de 40 años;Por no utilizar métodos anticonceptivos;35,82
10 Comunitat Valenciana;Menos de 40 años;Mi pareja quería;9,88
10 Comunitat Valenciana;Menos de 40 años;Otros;43,86
10 Comunitat Valenciana;40 y más años;Total;100
10 Comunitat Valenciana;40 y más años;Fallo del método anticonceptivo utilizado;28,62
10 Comunitat Valenciana;40 y más años;Por no utilizar métodos anticonceptivos;18,51
10 Comunitat Valenciana;40 y más años;Mi pareja quería;11,25
10 Comunitat Valenciana;40 y más años;Otros;41,62
11 Extremadura;NA;Total;100
11 Extremadura;NA;Fallo del método anticonceptivo utilizado;19,74
11 Extremadura;NA;Por no utilizar métodos anticonceptivos;34,37
11 Extremadura;NA;Mi pareja quería;13,75
11 Extremadura;NA;Otros;32,15
11 Extremadura;Menos de 40 años;Total;100
11 Extremadura;Menos de 40 años;Fallo del método anticonceptivo utilizado;29,22
11 Extremadura;Menos de 40 años;Por no utilizar métodos anticonceptivos;36,73
11 Extremadura;Menos de 40 años;Mi pareja quería;17,04
11 Extremadura;Menos de 40 años;Otros;17,01
11 Extremadura;40 y más años;Total;100
11 Extremadura;40 y más años;Fallo del método anticonceptivo utilizado;15,61
11 Extremadura;40 y más años;Por no utilizar métodos anticonceptivos;33,34
11 Extremadura;40 y más años;Mi pareja quería;12,31
11 Extremadura;40 y más años;Otros;38,74
12 Galicia;NA;Total;100
12 Galicia;NA;Fallo del método anticonceptivo utilizado;21,17
12 Galicia;NA;Por no utilizar métodos anticonceptivos;16,86
12 Galicia;NA;Mi pareja quería;14,64
12 Galicia;NA;Otros;47,32
12 Galicia;Menos de 40 años;Total;100
12 Galicia;Menos de 40 años;Fallo del método anticonceptivo utilizado;8,9
12 Galicia;Menos de 40 años;Por no utilizar métodos anticonceptivos;21,31
12 Galicia;Menos de 40 años;Mi pareja quería;10,9
12 Galicia;Menos de 40 años;Otros;58,89
12 Galicia;40 y más años;Total;100
12 Galicia;40 y más años;Fallo del método anticonceptivo utilizado;24,55
12 Galicia;40 y más años;Por no utilizar métodos anticonceptivos;15,64
12 Galicia;40 y más años;Mi pareja quería;15,67
12 Galicia;40 y más años;Otros;44,15
13 Madrid, Comunidad de;NA;Total;100
13 Madrid, Comunidad de;NA;Fallo del método anticonceptivo utilizado;15,51
13 Madrid, Comunidad de;NA;Por no utilizar métodos anticonceptivos;34,95
13 Madrid, Comunidad de;NA;Mi pareja quería;9,51
13 Madrid, Comunidad de;NA;Otros;40,03
13 Madrid, Comunidad de;Menos de 40 años;Total;100
13 Madrid, Comunidad de;Menos de 40 años;Fallo del método anticonceptivo utilizado;20,46
13 Madrid, Comunidad de;Menos de 40 años;Por no utilizar métodos anticonceptivos;35,27
13 Madrid, Comunidad de;Menos de 40 años;Mi pareja quería;1,75
13 Madrid, Comunidad de;Menos de 40 años;Otros;42,53
13 Madrid, Comunidad de;40 y más años;Total;100
13 Madrid, Comunidad de;40 y más años;Fallo del método anticonceptivo utilizado;13,2
13 Madrid, Comunidad de;40 y más años;Por no utilizar métodos anticonceptivos;34,8
13 Madrid, Comunidad de;40 y más años;Mi pareja quería;13,12
13 Madrid, Comunidad de;40 y más años;Otros;38,87
14 Murcia, Región de;NA;Total;100
14 Murcia, Región de;NA;Fallo del método anticonceptivo utilizado;24,84
14 Murcia, Región de;NA;Por no utilizar métodos anticonceptivos;27,05
14 Murcia, Región de;NA;Mi pareja quería;13,42
14 Murcia, Región de;NA;Otros;34,69
14 Murcia, Región de;Menos de 40 años;Total;100
14 Murcia, Región de;Menos de 40 años;Fallo del método anticonceptivo utilizado;31,08
14 Murcia, Región de;Menos de 40 años;Por no utilizar métodos anticonceptivos;17,21
14 Murcia, Región de;Menos de 40 años;Mi pareja quería;19,51
14 Murcia, Región de;Menos de 40 años;Otros;32,2
14 Murcia, Región de;40 y más años;Total;100
14 Murcia, Región de;40 y más años;Fallo del método anticonceptivo utilizado;21,26
14 Murcia, Región de;40 y más años;Por no utilizar métodos anticonceptivos;32,68
14 Murcia, Región de;40 y más años;Mi pareja quería;9,94
14 Murcia, Región de;40 y más años;Otros;36,12
15 Navarra, Comunidad Foral de;Total;Total;100
15 Navarra, Comunidad Foral de;Total;Fallo del método anticonceptivo utilizado;18,21
15 Navarra, Comunidad Foral de;Total;Por no utilizar métodos anticonceptivos;30,97
15 Navarra, Comunidad Foral de;Total;Mi pareja quería;14,93
15 Navarra, Comunidad Foral de;Total;Otros;35,89
15 Navarra, Comunidad Foral de;Menos de 40 años;Total;100
15 Navarra, Comunidad Foral de;Menos de 40 años;Fallo del método anticonceptivo utilizado;14,26
15 Navarra, Comunidad Foral de;Menos de 40 años;Por no utilizar métodos anticonceptivos;31,66
15 Navarra, Comunidad Foral de;Menos de 40 años;Mi pareja quería;23,54
15 Navarra, Comunidad Foral de;Menos de 40 años;Otros;30,54
15 Navarra, Comunidad Foral de;40 y más años;Total;100
15 Navarra, Comunidad Foral de;40 y más años;Fallo del método anticonceptivo utilizado;19,9
15 Navarra, Comunidad Foral de;40 y más años;Por no utilizar métodos anticonceptivos;30,68
15 Navarra, Comunidad Foral de;40 y más años;Mi pareja quería;11,24
15 Navarra, Comunidad Foral de;40 y más años;Otros;38,18
16 País Vasco;NA;Total;100
16 País Vasco;NA;Fallo del método anticonceptivo utilizado;20,42
16 País Vasco;NA;Por no utilizar métodos anticonceptivos;24,1
16 País Vasco;NA;Mi pareja quería;4,64
16 País Vasco;NA;Otros;50,84
16 País Vasco;Menos de 40 años;Total;100
16 País Vasco;Menos de 40 años;Fallo del método anticonceptivo utilizado;36,02
16 País Vasco;Menos de 40 años;Por no utilizar métodos anticonceptivos;28,55
16 País Vasco;Menos de 40 años;Mi pareja quería;0
16 País Vasco;Menos de 40 años;Otros;35,43
16 País Vasco;40 y más años;Total;100
16 País Vasco;40 y más años;Fallo del método anticonceptivo utilizado;15,3
16 País Vasco;40 y más años;Por no utilizar métodos anticonceptivos;22,64
16 País Vasco;40 y más años;Mi pareja quería;6,16
16 País Vasco;40 y más años;Otros;55,9
17 Rioja, La;NA;Total;100
17 Rioja, La;NA;Fallo del método anticonceptivo utilizado;9,33
17 Rioja, La;NA;Por no utilizar métodos anticonceptivos;34,49
17 Rioja, La;NA;Mi pareja quería;10,59
17 Rioja, La;NA;Otros;45,59
17 Rioja, La;Menos de 40 años;Total;100
17 Rioja, La;Menos de 40 años;Fallo del método anticonceptivo utilizado;12,23
17 Rioja, La;Menos de 40 años;Por no utilizar métodos anticonceptivos;46,46
17 Rioja, La;Menos de 40 años;Mi pareja quería;12,31
17 Rioja, La;Menos de 40 años;Otros;29
17 Rioja, La;40 y más años;Total;100
17 Rioja, La;40 y más años;Fallo del método anticonceptivo utilizado;7,5
17 Rioja, La;40 y más años;Por no utilizar métodos anticonceptivos;26,96
17 Rioja, La;40 y más años;Mi pareja quería;9,52
17 Rioja, La;40 y más años;Otros;56,03
18 Ceuta;NA;Total;100
18 Ceuta;NA;Fallo del método anticonceptivo utilizado;24,43
18 Ceuta;NA;Por no utilizar métodos anticonceptivos;21,52
18 Ceuta;NA;Mi pareja quería;10,74
18 Ceuta;NA;Otros;43,32
18 Ceuta;Menos de 40 años;Total;100
18 Ceuta;Menos de 40 años;Fallo del método anticonceptivo utilizado;8,12
18 Ceuta;Menos de 40 años;Por no utilizar métodos anticonceptivos;16,88
18 Ceuta;Menos de 40 años;Mi pareja quería;24,37
18 Ceuta;Menos de 40 años;Otros;50,64
18 Ceuta;40 y más años;Total;100
18 Ceuta;40 y más años;Fallo del método anticonceptivo utilizado;37,28
18 Ceuta;40 y más años;Por no utilizar métodos anticonceptivos;25,17
18 Ceuta;40 y más años;Mi pareja quería;0
18 Ceuta;40 y más años;Otros;37,55
19 Melilla;NA;Total;100
19 Melilla;NA;Fallo del método anticonceptivo utilizado;15,65
19 Melilla;NA;Por no utilizar métodos anticonceptivos;29,17
19 Melilla;NA;Mi pareja quería;11,86
19 Melilla;NA;Otros;43,32
19 Melilla;Menos de 40 años;Total;100
19 Melilla;Menos de 40 años;Fallo del método anticonceptivo utilizado;14,43
19 Melilla;Menos de 40 años;Por no utilizar métodos anticonceptivos;30,8
19 Melilla;Menos de 40 años;Mi pareja quería;18,98
19 Melilla;Menos de 40 años;Otros;35,79
19 Melilla;40 y más años;Total;100
19 Melilla;40 y más años;Fallo del método anticonceptivo utilizado;16,59
19 Melilla;40 y más años;Por no utilizar métodos anticonceptivos;27,91
19 Melilla;40 y más años;Mi pareja quería;6,38
19 Melilla;40 y más años;Otros;49,12
